date,state,avgpcp
191804,43,2.13666666667
191804,44,6.64
191804,45,1.106
191804,46,5.44666666667
191804,47,2.17888888889
191804,48,2.607
191805,1,2.695
191805,2,0.0828571428571
191805,3,3.02
191805,4,0.367142857143
191805,5,0.962
191805,6,3.83333333333
191805,7,3.475
191805,8,2.73571428571
191805,9,2.11777777778
191805,10,1.362
191805,11,5.29777777778
191805,12,4.62777777778
191805,13,6.80222222222
191805,14,4.08888888889
191805,15,4.0025
191805,16,1.87
191805,17,2.52333333333
191805,18,3.65875
191805,19,2.46333333333
191805,20,4.029
191805,21,4.64555555556
191805,22,1.593
191805,23,5.54333333333
191805,24,1.53
191805,25,4.27625
191805,26,0.835
191805,27,2.98
191805,28,4.92
191805,29,0.4175
191805,30,4.056
191805,31,3.875
191805,32,2.26
191805,33,4.537
191805,34,3.98888888889
191805,35,1.40222222222
191805,36,5.167
191805,37,2.07
191805,38,3.35571428571
191805,39,3.36333333333
191805,40,4.0225
191805,41,2.332
191805,42,0.785714285714
191805,43,3.69333333333
191805,44,3.31166666667
191805,45,1.937
191805,46,4.41666666667
191805,47,6.44444444444
191805,48,1.971
191806,1,4.3475
191806,2,0.69
191806,3,3.53333333333
191806,4,0.127142857143
191806,5,1.486
191806,6,4.01666666667
191806,7,2.345
191806,8,5.64857142857
191806,9,4.15888888889
191806,10,0.989
191806,11,3.52
191806,12,3.38333333333
191806,13,5.13555555556
191806,14,1.32777777778
191806,15,3.7225
191806,16,4.22333333333
191806,17,3.89
191806,18,2.65125
191806,19,3.64333333333
191806,20,2.003
191806,21,2.04777777778
191806,22,3.904
191806,23,3.29
191806,24,1.30428571429
191806,25,1.94
191806,26,1.1725
191806,27,3.64
191806,28,3.47333333333
191806,29,1.17875
191806,30,3.81
191806,31,3.54875
191806,32,1.79222222222
191806,33,2.687
191806,34,3.25333333333
191806,35,0.29
191806,36,3.597
191806,37,4.01
191806,38,3.66142857143
191806,39,2.43
191806,40,4.465
191806,41,2.209
191806,42,0.975714285714
191806,43,4.01
191806,44,4.23833333333
191806,45,0.559
191806,46,4.47833333333
191806,47,2.28777777778
191806,48,1.746
191807,1,3.99125
191807,2,1.84285714286
191807,3,1.28222222222
191807,4,0.162857142857
191807,5,2.878
191807,6,3.75666666667
191807,7,3.645
191807,8,5.10571428571
191807,9,4.97888888889
191807,10,1.087
191807,11,2.50444444444
